Note	Frequency (80147 in total)
f	6810
cm	2539
not	2027
-->	1657
i	1391
5	1351
this	1338
r4	960
b4	949
r3	936
b3	929
b2	881
g3	879
g4	868
g2	826
r2	812
y4	785
is	739
y3	720
maybe	707
3	695
a	687
4	670
be	668
clue	653
y2	628
no	623
probably	617
2	605
trash	604
to	556
kt	535
should	517
b1	485
have	481
r1	479
r5	462
b5	459
g1	455
why	454
p3	422
it	403
p4	401
i2	399
g5	397
m3	394
or	394
p2	390
i3	387
play	382
[cm]	380
oh	380
m2	376
y1	372
red	371
was	361
i4	360
might	346
y5	343
known	335
sdcm	332
stall	328
the	325
m4	324
likely	319
knows	307
like	296
green	293
can	291
prio	289
1	281
tccm	279
blue	277
important	276
guess	266
but	257
m1	254
nice	245
bluff	244
discard	242
m5	238
?	230
that	230
oops	227
could	226
i5	225
looks	221
elim	218
for	210
as	206
<--	203
fix	202
yellow	198
y	197
bad	194
i1	194
save	193
bomb	190
p1	184
p5	183
b	179
ocm	178
playable	178
n2	176
chop	170
just	170
from	168
k4	166
k2	163
if	161
k3	160
g	159
now	158
my	157
did	156
fixme	154
hopefully	152
of	151
on	151
r	151
nope	148
so	147
w3	147
good	145
n3	145
n5	143
think	140
played	137
pf	134
23	132
and	129
neg	129
possibly	125
sure	124
w4	124
n4	123
clued	122
n1	121
some	121
w2	117
finesse	116
gd	116
thinks	115
with	115
how	113
k1	111
lol	111
in	110
because	105
would	103
don't	101
here	101
me	101
we	101
:d	100
by	99
do	99
after	98
m	97
p	97
what	97
k5	96
nvm	96
prob	94
about	90
missed	89
does	88
tcm	88
dda	85
o4	85
purple	82
pink	81
really	81
very	80
card	79
whoops	77
o2	76
better	75
hmm	74
stale	73
priority	72
[f]	71
double	71
one	70
o5	69
:o	68
lpc	68
o3	68
moved	67
tocm	67
will	65
get	63
it's	63
t3	63
playing	62
choice	59
duping	59
forgot	59
he	59
soft	59
too	59
w1	59
???	58
lhs	58
o1	58
ok	58
uh	58
wait	58
:/	56
actually	55
first	55
you	55
45	54
give	54
rank	53
1s	52
instead	52
seems	52
t2	52
thought	52
w5	52
black	51
t4	51
exactly	50
move	50
discarded	49
hand	49
lanvin	49
am	48
brown	48
k	47
has	46
right	46
i'm	45
pull	45
though	45
are	44
fixed	44
positional	44
that's	44
a3	43
plays	43
another	42
context	42
elimination	42
look	42
then	42
white	42
34	41
a2	41
a4	41
know	41
target	41
an	40
discarding	40
focus	40
hesitation	40
wrong	40
at	39
b23	39
must	39
out	39
ambiguous	38
certain	38
still	38
work	38
ah	37
cause	36
kinda	36
touch	36
dupe	35
loaded	35
need	35
up	35
:(	34
early	34
g23	34
order	34
a5	33
m23	33
off	33
suspect	33
way	33
wow	33
even	32
negative	32
oop	32
there	32
w	32
!b	31
??	31
hoping	31
pretty	31
risky	31
since	31
5ce	30
[tccm]	30
blocking	30
declined	30
inversion	30
mistake	30
345	29
all	29
amb	29
had	29
i'll	29
more	29
multi	29
nothing	29
oof	29
tempo	29
let	28
u3	28
cards	27
crit	27
promised	27
prompt	27
read	27
reclue	27
see	27
u4	27
u5	27
want	27
also	26
anyway	26
hard	26
notes	26
occupied	26
risk	26
something	26
t1	26
time	26
8	25
done	25
ejection	25
intended	25
locked	25
lucky	25
o	25
other	25
seph	25
try	25
turn	25
u2	25
yup	25
234	24
[sdcm]	24
blind	24
can't	24
didn't	24
push	24
somewhere	24
stupid	24
suspecting	24
t5	24
works	24
[ocm]	23
interesting	23
!r	22
(but	22
both	22
level	22
lose	22
prefer	22
r23	22
unnecessary	22
any	21
case	21
clearly	21
enough	21
idea	21
shit	21
y23	21
yeah	21
5cm	20
b45	20
colour	20
redistribution	20
scream	20
u1	20
weird	20
2s	19
[2]	19
[5]	19
already	19
been	19
color	19
earlier	19
isn't	19
l4	19
makes	19
marked	19
saved	19
sorry	19
wanted	19
yep	19
2345	18
attempted	18
bit	18
draw	18
indego	18
possible	18
rip	18
sense	18
swine	18
[3]	17
again	17
clues	17
into	17
only	17
round	17
wtf	17
25	16
3s	16
anything	16
attempt	16
believe	16
either	16
fill	16
gonna	16
keep	16
let's	16
m34	16
make	16
much	16
n45	16
otherwise	16
pablo	16
pov	16
r34	16
undo	16
yikes	16
!g	15
cluing	15
confused	15
damn	15
discharge	15
given	15
haha	15
illegal	15
luckily	15
mel	15
muddy	15
necessary	15
please	15
supposed	15
tried	15
trust	15
when	15
worried	15
!y	14
[fixme]	14
a1	14
dani	14
expecting	14
going	14
ignition	14
least	14
longer	14
m234	14
pace	14
phew	14
she	14
slot	14
t1:	14
teal	14
than	14
4s	13
[4]	13
assume	13
c3	13
down	13
g34	13
generating	13
giving	13
got	13
gray	13
layered	13
nah	13
next	13
omni	13
opc	13
quite	13
t	13
thanks	13
unlikely	13
35	12
available	12
bonja	12
c4	12
finessed	12
go	12
great	12
i34	12
incoming	12
jack	12
kind	12
l3	12
lel	12
pd	12
t7:	12
these	12
well	12
were	12
wittvector	12
apparently	11
bluffed	11
bombed	11
charm	11
critical	11
d4	11
dang	11
g45	11
his	11
immediately	11
l5	11
m345	11
m45	11
n34	11
p23	11
s	11
same	11
self	11
unknown	11
worked	11
+	10
[tcm]	10
almost	10
away	10
bombs	10
copy	10
doesn't	10
duplicating	10
fey	10
game	10
kevin	10
melwen	10
n	10
o23	10
plus	10
slightly	10
sloppy	10
stalling	10
start	10
t5:	10
timotree	10
which	10
worth	10
!i	9
(maybe	9
5s	9
allowed	9
b34	9
back	9
before	9
discards	9
else	9
expected	9
fair	9
fault	9
frosty	9
generation	9
information	9
kyle	9
later	9
looked	9
low	9
n23	9
point	9
setting	9
soon	9
t8:	9
tell	9
useful	9
utd	9
whoa	9
witt	9
won't	9
wonder	9
y45	9
yes	9
!m	8
(likely	8
0	8
anxiety	8
carunty	8
chance	8
clearer	8
directly	8
doing	8
feel	8
gs	8
huh	8
killing	8
last	8
lot	8
made	8
needed	8
nitrate	8
over	8
position	8
r45	8
rachy	8
screamed	8
stalled	8
sus	8
t18:	8
touching	8
variant	8
!5	7
24	7
bloo	7
bombing	7
bottom	7
bs	7
burn	7
c2	7
delayed	7
dobi	7
dude	7
due	7
fan	7
free	7
gotten	7
hope	7
k34	7
kill	7
legal	7
lotem	7
lvl	7
most	7
never	7
own	7
piano	7
pls	7
prism	7
ps	7
rce	7
safe	7
saving	7
shadow	7
shout	7
somehow	7
someone	7
steal	7
surprising	7
suspects	7
t11:	7
t12:	7
t13:	7
t26:	7
t4:	7
technically	7
trying	7
uhh	7
uhm	7
unlucky	7
use	7
using	7
what's	7
where	7
win	7
xd	7
xmil	7
15	6
245	6
3/4	6
????	6
[tocm]	6
according	6
adrone	6
best	6
blaze	6
browns	6
bubblegum	6
c	6
confusing	6
course	6
d3	6
danger	6
digging	6
dumb	6
emily	6
fake	6
find	6
gets	6
greedy	6
idk	6
imo	6
inefficient	6
jeff	6
job	6
k234	6
killed	6
looking	6
lost	6
n125	6
needs	6
note	6
o34	6
overloaded	6
p24	6
p34	6
pass	6
slow	6
started	6
stop	6
t20:	6
t23:	6
t24:	6
t3:	6
teamwork	6
thing	6
trusting	6
turnabout	6
wasn't	6
winning	6
without	6
ys	6
!1	5
!2	5
...	5
ambig	5
avoid	5
baton	5
bluffs	5
christophe	5
coming	5
confident	5
confusion	5
decision	5
decked	5
desync	5
duplicate	5
eject	5
eliclax	5
endgame	5
exists	5
explains	5
globally	5
goes	5
happen	5
indeed	5
info	5
joel	5
k2345	5
kills	5
l	5
l2	5
lie	5
line	5
m24	5
m25	5
mango	5
mind	5
miss	5
moving	5
n25	5
newduke	5
noone	5
nooo	5
number	5
okay	5
protecting	5
pulled	5
real	5
respect	5
rs	5
rz	5
sacrifice	5
second	5
sephiroth	5
set	5
single	5
stuff	5
suboptimal	5
suggested	5
t14:	5
t30:	5
trusted	5
unfortunately	5
until	5
y2e	5
y34	5
yet	5
!p	4
!w	4
(not	4
(or	4
(why	4
12	4
235	4
9	4
[1]	4
[cm]?	4
[y4]	4
anymore	4
awesome	4
b35	4
behind	4
being	4
brave	4
c5	4
channel	4
clueable	4
copies	4
d1	4
d2	4
d5	4
deck	4
dmoney	4
easy	4
eventually	4
exception	4
finally	4
fpe	4
getting	4
gives	4
her	4
high	4
hm	4
i23	4
i45	4
intention	4
k23	4
lack	4
lanvin's	4
left	4
lel's	4
load	4
long	4
many	4
means	4
meant	4
meh	4
messed	4
moves	4
myself	4
null	4
ohh	4
pinks	4
plan	4
possibility	4
rachel	4
realize	4
reasonable	4
recluing	4
s2	4
s4	4
sacrificing	4
scary	4
speedup	4
spook	4
stomp	4
sucubis	4
suggests	4
t10:	4
t15:	4
t17:	4
t19:	4
t2:	4
t31:	4
t37:	4
t6:	4
table	4
thinking	4
tho	4
timehoodie	4
urgent	4
us	4
used	4
valid	4
whatever	4
while	4
!k	3
(although	3
(b3?)	3
(can	3
(might	3
(oops)	3
(should	3
1/5/s	3
100%	3
16	3
7	3
>	3
against	3
ahead	3
alive	3
although	3
always	3
amazing	3
attention	3
b24	3
b25	3
blue)	3
blunder	3
c1	3
changed	3
chris	3
clear	3
closed	3
context)	3
continuation	3
dark	3
db	3
decided	3
demonstrated	3
depends	3
didnt	3
die	3
different	3
dpe	3
drew	3
efficiency	3
efficient	3
explain	3
feels	3
fills	3
fixes	3
forget	3
friendly	3
funny	3
g123	3
g345	3
gave	3
generate	3
genius	3
handy	3
having	3
hidden	3
higher	3
honestly	3
hoodie	3
i'd	3
i345	3
invert	3
jerry	3
k245	3
kakashi	3
kopen	3
late	3
leaning	3
lel0uch	3
less	3
lime	3
lmao	3
lock	3
m2345	3
mabye	3
mainly	3
marek	3
mean	3
mildly	3
n2345	3
n345	3
o3e	3
obviously	3
ooo	3
p234	3
passed	3
piper	3
pointless	3
promise	3
protected	3
pushed	3
question	3
quickly	3
random	3
reason	3
red)	3
redistribute	3
relying	3
requires	3
reverse	3
risking	3
s3	3
safety	3
saves	3
scared	3
seemed	3
sees	3
self:	3
shouldn't	3
simple	3
skip	3
slows	3
stalls	3
stealing	3
stolen	3
strike	3
strongly	3
such	3
sudden	3
surely	3
t11	3
t21:	3
t22:	3
t28:	3
t29:	3
t36:	3
t38:	3
t39:	3
t40:	3
t46:	3
talk	3
tells	3
things	3
this?)	3
totally	3
towards	3
transfer	3
u34	3
udd	3
unplayable	3
wanna	3
we're	3
welp	3
y1e	3
y345	3
yay	3
ym	3
zak	3
!crit	2
!l	2
!r4	2
!t	2
(b3	2
(pretty	2
(probably	2
(whoops)	2
--->	2
10	2
125	2
13	2
3/4?	2
50%	2
5nd	2
6	2
:)	2
?????	2
[!p]	2
[!r	2
[b4]	2
[cm]??	2
[fix]	2
[g]	2
[ocm]?	2
[pf]	2
[r2]	2
[r5]	2
able	2
accidential	2
agressive	2
agressively	2
ahh	2
asaelr	2
assumed	2
avanderwalde	2
b345	2
bjnh	2
blueberry	2
bob	2
bye	2
calls	2
came	2
ce	2
chances	2
choose	2
cluable	2
cm'd	2
completely	2
considered	2
contextually	2
cool	2
crew	2
cuz	2
d:	2
def	2
definitely	2
derek	2
discharged	2
distracted	2
doctorabi	2
drawn	2
duped	2
during	2
echo	2
eljobe	2
ended	2
exactly?)	2
expect	2
fact	2
fairly	2
faster	2
feeling	2
figure	2
figuring	2
finessing	2
floriman	2
fresh	2
frollo	2
frosty's	2
g2345	2
g245	2
g2e	2
g4?)	2
g5e	2
gentleman's	2
ghost	2
gone	2
half	2
happened	2
happening	2
happens	2
helana	2
highly	2
him	2
i2)	2
i234	2
interpretation	2
it)	2
k235	2
keeping	2
kernel	2
kevin's	2
knaphill	2
knew	2
kyle's	2
leave	2
letting	2
little	2
logic	2
loses	2
losing	2
lotem's	2
lots	2
mac	2
magic	2
mango's	2
metta	2
misprompt	2
misunderstood	2
modulation	2
n12	2
naughty	2
navy	2
neglected	2
new	2
nicely	2
none	2
nonsense	2
nontheless	2
noooo	2
o2345	2
o24	2
once	2
oopsies	2
orange	2
ouch	2
p25	2
p45	2
pablo's	2
pay	2
phantom	2
playables	2
postional	2
pp	2
prevent	2
prio'd	2
problem	2
prophetic	2
protect	2
pushes	2
putting	2
puzzle	2
r134	2
r234	2
r35	2
r3s	2
r4)	2
r4e	2
rainbow	2
reclued	2
remaining	2
resolved	2
reversed	2
review:	2
safer	2
save)	2
saw	2
scb	2
score	2
seem	2
self-[cm]	2
selfish	2
sephiroth's	2
sets	2
shows	2
smart	2
sooner	2
spend	2
spooked	2
starting	2
steven	2
stronger	2
surprised	2
suspicious	2
swine's	2
sylvan	2
t27:	2
t34:	2
t42:	2
t43:	2
t45:	2
t49:	2
t51:	2
t58:	2
t7	2
t9:	2
tbh	2
theoretically	2
therefore	2
they	2
those	2
though)	2
thx	2
timing	2
touched	2
tp	2
true	2
u	2
u23	2
uncluable	2
unclued	2
understand	2
understandable	2
undone	2
unsafe	2
visible	2
waited	2
waiting	2
wants	2
wat	2
whaaat	2
who	2
woops	2
worst	2
y234	2
yellows	2
yuck	2
zak's	2
🤔	2
!	1
!!	1
!!!	1
!a	1
!b2	1
!b?	1
!b]	1
!g4	1
!g]	1
!i]	1
!p5	1
!r2	1
!r]	1
!rby	1
!y?	1
!y]	1
#abolish5stalls	1
(because	1
(can't	1
(clandestine	1
(cm)	1
(could	1
(dda)	1
(g3)	1
(g4	1
(how	1
(i	1
(kinda	1
(known	1
(level	1
(lhs)	1
(m2	1
(missed)	1
(n4++)	1
(nice)	1
(otherwise	1
(p2	1
(played	1
(prob	1
(r2++)	1
(risk	1
(t20:	1
(when??)	1
(why?)	1
(y3)	1
(y4)	1
(y4+++)	1
*facepalm*	1
-->?	1
->	1
11	1
123	1
1234	1
12345	1
12:	1
134	1
1345	1
14	1
17	1
18)	1
19)	1
1m	1
1s5	1
2/3	1
20	1
23/25	1
29	1
2nd	1
2p	1
3/4/n5	1
31/32	1
32	1
4)	1
4/7	1
43	1
4db	1
51:	1
5dp	1
5k	1
:	1
:d)	1
:dd	1
[!5]	1
[!g]	1
[!i]	1
[!k]	1
[!r]	1
[!w]	1
[3][!a	1
[4][!g	1
[5	1
[b2]	1
[b3	1
[cm]'d	1
[cm][!5]	1
[cm][fix]	1
[cm][y4]	1
[f]?	1
[g23]	1
[g3]	1
[g3][cm]	1
[g4	1
[g4]	1
[green]	1
[i1]	1
[i2]	1
[i4][cm]	1
[i]	1
[k2]	1
[k]	1
[l]	1
[m2]	1
[n3]	1
[n4]	1
[p4]	1
[p]	1
[r	1
[r3]	1
[r4]	1
[r5	1
[sdcm]?	1
[w3]	1
[x]	1
[y2]	1
[y2][cm]	1
[y3]	1
[y]	1
^^	1
adrone's	1
afford	1
afraid	1
agreed	1
ahhh	1
ahhhh	1
allow	1
allowable	1
allowing	1
ambiguous?)	1
andrew	1
anime's	1
animex	1
anyone	1
anywhere	1
apparent	1
aren't	1
around	1
asap	1
assumes	1
assuming	1
asynchronous	1
avoids	1
b12	1
b123	1
b1234	1
b134	1
b2)	1
b234	1
b235	1
b245	1
b3)	1
b4)	1
b`?	1
badly	1
basically	1
basking	1
bcme	1
be)	1
beautiful	1
becomes	1
beginner	1
beginning	1
beri	1
besides	1
bet	1
between	1
blacks	1
blundered	1
bm2	1
boba's	1
bomb)	1
bombs)	1
brain	1
caitlin	1
call	1
callback	1
cana	1
cant	1
careful	1
case)	1
casually	1
catula	1
causes	1
challenge	1
change	1
changes	1
charms	1
choosing	1
christophe's	1
cladestine	1
clandestine	1
clarify	1
clarity	1
classic	1
clean	1
clearest	1
clears	1
clever	1
close	1
closing	1
clue:	1
clue:/	1
cm's	1
cm)	1
colour)	1
colours	1
come	1
comfortable	1
compared	1
complete	1
complicated	1
confirms	1
consider	1
contextual	1
continues	1
convention	1
conventionally	1
conventions	1
couldn't	1
count	1
counted	1
counting	1
course)	1
crazy	1
create	1
crits	1
current	1
currently	1
d	1
dangerous	1
dead	1
deal	1
decent	1
decides	1
decline	1
deduction	1
deferring	1
definetely	1
delay	1
demonstrating	1
depending	1
derek's	1
desperate	1
desperation	1
desynced	1
die?)	1
dies	1
difference	1
disagrees	1
discarded)	1
discuss	1
distribution	1
div	1
do)	1
doesnt	1
doubt	1
dpce	1
drawing	1
draws	1
dupes	1
duping)	1
duplicates	1
duplication	1
duplication)	1
dupped	1
durandal)	1
earlier:	1
easier	1
ejecitons	1
ejected	1
ejections	1
ejwu	1
ejwu's	1
eli	1
elilm	1
eliminiation	1
emily's	1
empathy	1
empty	1
enable	1
end	1
ending	1
entertain	1
especially	1
everyone	1
everything	1
exactly)	1
excellent	1
excuse	1
exist	1
experimenting	1
failes	1
fart	1
felt	1
figured	1
filled	1
finding	1
finds	1
fine	1
finesse)	1
finesses	1
fiora	1
fives	1
fixing	1
floriman's	1
florrat	1
follow	1
force	1
forgotten	1
forgotten?)	1
fourth	1
full	1
fully	1
fun	1
fuuck	1
fuuuck	1
g/b	1
g/m	1
g1/g2	1
g234	1
g24	1
g3)	1
g4)	1
gbp	1
ge2	1
gent	1
gentleman	1
gentlemen's	1
gents	1
goodbye	1
gotta	1
gr	1
green)	1
green:	1
greens	1
griff	1
grp	1
guessed	1
guessing	1
guy	1
gy	1
hahaha	1
hahahaha	1
hallucinated	1
hanabiforwill	1
handle	1
hapotata	1
harder	1
he's	1
hehe	1
helana's	1
helana)	1
hello	1
helpful	1
helps	1
here?)	1
herself	1
hesitate	1
hesitates	1
hesitating	1
hesitiation	1
hestitation	1
himself	1
holding	1
honest	1
honzas	1
hoped	1
hould	1
how?)	1
i1234	1
i1]	1
i2's	1
i2345	1
i]	1
ideally	1
ideas	1
idiot	1
ignore	1
ignored	1
ignored)	1
ignoring	1
importnat	1
impossible	1
impostor	1
impressive	1
indego's	1
initially	1
intend	1
intentionally	1
interpret	1
interpretations	1
interpreted	1
invent	1
invented	1
inverse	1
is:	1
isabel	1
isabel's	1
isnt	1
itself	1
iullo	1
jumping	1
justification	1
k)	1
k1234	1
k22	1
k24	1
k345	1
k45	1
kalisa	1
katian	1
kaznad	1
kept	1
kilda	1
kimbi	1
kimbi's	1
knaphill:	1
knowing	1
knowledge	1
known)	1
l1	1
l23	1
lafayette	1
lanvins	1
latter	1
layer)	1
lazy	1
lets	1
lhs)	1
lies	1
like:	1
likely)	1
likely?)	1
likes	1
lilliana	1
lined	1
lines	1
ll	1
locking	1
lol7	1
lot's	1
lucky)	1
lul	1
m12	1
m1234	1
m15	1
m2/r3	1
m235	1
m245	1
m35	1
m4/m5	1
maaaybe	1
macanek	1
making	1
man	1
mangopie:	1
marek's	1
mark	1
marks	1
markus	1
masn	1
masterplan:	1
matches	1
matching	1
matter	1
may	1
maybe)	1
mel's	1
mel?)	1
melwen's	1
melwen)	1
mid	1
mike	1
miraculously	1
misclick	1
misplay	1
misprio'd	1
missing	1
mn5	1
moa	1
moment	1
moral	1
mouse	1
mouseslip	1
move:	1
moves:	1
ms	1
mtrash	1
multiple	1
mutliple	1
n1)	1
n123	1
n234	1
n235	1
n24	1
n35	1
nearly	1
necessarily	1
needing	1
nesha's	1
newsun	1
nitawa's	1
nitrate's	1
nkkarpov	1
nobody	1
noice	1
non	1
non-3	1
non-red	1
noo	1
noocm	1
nooooo	1
nooooooo	1
normal	1
ns	1
numbers	1
o/	1
o235	1
o23]	1
o245	1
o25	1
o4)	1
o45	1
obvious)	1
occasion	1
ockam's	1
onen	1
ones	1
ooof	1
ooops	1
opening	1
option	1
options	1
original	1
oru	1
oups	1
p13	1
p2345	1
p245	1
p345	1
p5?)	1
paid	1
part	1
passes	1
paula	1
pepepe	1
perfectly	1
person	1
phase	1
piano's	1
planned	1
planning	1
plans:	1
playble	1
playin	1
plays)	1
plenty	1
points	1
possibilty	1
possible:	1
postmans	1
potential	1
prediscarded	1
preferred	1
preventing	1
previous	1
principle	1
principled	1
probabls	1
process	1
promising	1
promptability	1
promptable	1
prompted	1
prompts	1
prop	1
purge	1
purples	1
put	1
puts	1
qbphoenix	1
questionable	1
r1/r5	1
r1/w1	1
r123	1
r15	1
r1m3	1
r2)	1
r2?)	1
r3's	1
r3)	1
r345	1
r3?)	1
r4's	1
r4++	1
r45?)	1
rach	1
rachel's	1
rachy's	1
rahso	1
rainow	1
rare	1
rather	1
razor	1
reading	1
reasons	1
rebellious	1
redistributed	1
redistributing	1
reds	1
regret	1
relaklah	1
relatively	1
relied	1
rely	1
remember	1
replay	1
require	1
resist	1
respecting	1
responsibility	1
restriction	1
resynced	1
retroactively	1
reuzed's	1
reveals	1
rgb2	1
ricardo	1
ricardo's	1
ride	1
riding	1
rkass	1
rm1	1
rmb1	1
rob	1
rurp	1
russia	1
rz's	1
s1	1
sac	1
sadge	1
safest	1
said	1
sarcastic	1
say	1
says	1
scam	1
schemetrical	1
screaming	1
screwed	1
sdcm]	1
searching	1
seat	1
section	1
seed	1
seeing	1
seen	1
self-finesse	1
self-prompt	1
setup	1
seven	1
sheamol	1
shoot	1
shoud	1
shoul	1
similar	1
sin	1
sky	1
slots	1
small	1
smells	1
sometimes	1
somewhat	1
soo	1
speaking	1
speed	1
speeds	1
spicy	1
spirit	1
spread	1
squi	1
squid	1
stacked	1
stall?)	1
starved	1
steals	1
stole	1
stomped	1
stomping	1
stopped	1
story:	1
strange	1
strictly	1
strikes	1
sucks	1
suddenly	1
super	1
suprised	1
surprise	1
swine)	1
swineherd	1
syrah	1
t10	1
t12	1
t14	1
t16:	1
t23	1
t234	1
t2345	1
t25	1
t25:	1
t26	1
t31	1
t32:	1
t35	1
t41:	1
t43	1
t44:	1
t48:	1
t50	1
t53:	1
t54:	1
t55:	1
t61:	1
t8	1
take	1
tan	1
targets	1
tda	1
tempo'd	1
tempted	1
that?)	1
theory	1
there's	1
thinking:	1
third	1
through	1
throw	1
thsi	1
time's	1
timotree's	1
timotrees	1
toby	1
today	1
touches	1
treat	1
trick	1
trigger	1
triggers	1
trolling	1
turned	1
two	1
typical	1
ugly	1
uhhm	1
unavoidable	1
unclear	1
understood	1
unexpected	1
unexpectedly	1
unintentional	1
unique	1
unlock	1
unlocking	1
unnecessarity	1
unnessesary	1
unsaveable	1
unsure	1
unwinnable	1
usually	1
valetta	1
valuable	1
version	1
violating	1
voluntarily	1
voss's	1
vs	1
vtk	1
w123	1
w2)	1
w34	1
was:	1
wasnt	1
weirdness	1
went	1
whaaaat	1
when?)	1
whether	1
whisper	1
whispered	1
whole	1
whoopsies	1
will's	1
winnable	1
wins	1
wittvector's	1
wittvectors	1
wondering	1
working	1
worse	1
wortel	1
wouldn't	1
write	1
writing	1
wump	1
y123	1
y12345	1
y15s	1
y1?)	1
y2345	1
y235	1
y24	1
y25	1
y2?)	1
y3-->	1
y35	1
y4#	1
y4]	1
y4s	1
y5;	1
yak	1
yeet	1
yelllow	1
yellow)	1
yesterday	1
yo5	1
yolo	1
your	1
yp	1
yp4	1
zakisan	1
zakisan's	1
🔥	1
😂	1
😕	1
😮	1
🙈	1
🤩	1
