Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
possum	200.0	3	100.0	0.0	0.0	0.0
Aww__fOCWQGfmj	100.0	2	100.0	0.0	0.0	0.0
Damian000	100.0	6	100.0	0.0	0.0	0.0
dobi	100.0	4	100.0	0.0	0.0	0.0
Floriman	100.0	2	100.0	0.0	0.0	0.0
HelanaAshryvr	100.0	2	100.0	0.0	0.0	0.0
Ketul	100.0	2	100.0	0.0	0.0	0.0
kinkajusrevenge	100.0	2	100.0	0.0	0.0	0.0
ksfortson	100.0	2	50.0	0.0	50.0	0.0
Onen	100.0	2	100.0	0.0	0.0	0.0
swineherd	100.0	2	100.0	0.0	0.0	0.0
torp	100.0	2	50.0	0.0	50.0	0.0
louietyj	75.0	7	100.0	0.0	0.0	0.0
Fey	50.0	3	100.0	0.0	0.0	0.0
ontak	50.0	3	100.0	0.0	0.0	0.0
Spieler42	50.0	6	100.0	0.0	0.0	0.0
wump	50.0	3	100.0	0.0	0.0	0.0
Daryl	40.0	7	100.0	0.0	0.0	0.0
banjoleb	33.33	4	100.0	0.0	0.0	0.0
narabio	33.33	4	100.0	0.0	0.0	0.0
wolfpack	33.33	56	94.64	0.0	5.36	0.0
CaitlinSmith	28.57	9	100.0	0.0	0.0	0.0
PotatoLatte	28.57	18	94.44	0.0	5.56	0.0
nachoz	26.67	76	98.68	0.0	1.32	0.0
griff77	25.0	10	100.0	0.0	0.0	0.0
HariKrishnan	20.0	6	100.0	0.0	0.0	0.0
pennless	11.11	20	100.0	0.0	0.0	0.0
anoob	7.14	15	100.0	0.0	0.0	0.0
4head	0.0	4	100.0	0.0	0.0	0.0
ADrone	0.0	1	100.0	0.0	0.0	0.0
Aluap	0.0	1	100.0	0.0	0.0	0.0
basking	0.0	4	100.0	0.0	0.0	0.0
Bot-Fiora	0.0	1	100.0	0.0	0.0	0.0
bot_21	0.0	1	100.0	0.0	0.0	0.0
bot_23	0.0	2	100.0	0.0	0.0	0.0
bot_31	0.0	11	100.0	0.0	0.0	0.0
bot_32	0.0	2	100.0	0.0	0.0	0.0
caГ±a	0.0	1	100.0	0.0	0.0	0.0
Cylence	0.0	7	100.0	0.0	0.0	0.0
Danish	0.0	1	100.0	0.0	0.0	0.0
DarthGandalf	0.0	2	100.0	0.0	0.0	0.0
donovan_asfsaf	0.0	2	100.0	0.0	0.0	0.0
eljavi	0.0	6	100.0	0.0	0.0	0.0
Espen	0.0	3	100.0	0.0	0.0	0.0
Feich59	0.0	4	0.0	0.0	100.0	0.0
FerKeth	0.0	1	100.0	0.0	0.0	0.0
foundthecat	0	1	100.0	0.0	0.0	0.0
frosty104	0.0	1	100.0	0.0	0.0	0.0
InflatableKayak	0.0	1	100.0	0.0	0.0	0.0
IsabeltheCat	0.0	4	0.0	0.0	100.0	0.0
jucijuce	0.0	15	100.0	0.0	0.0	0.0
KatherenPushpa	0.0	1	100.0	0.0	0.0	0.0
KM1317	0.0	1	100.0	0.0	0.0	0.0
knaphill	0.0	1	100.0	0.0	0.0	0.0
Kyle	0.0	3	100.0	0.0	0.0	0.0
lolthisnotderk	0.0	2	100.0	0.0	0.0	0.0
macanek	0.0	4	100.0	0.0	0.0	0.0
MangoPie	0	2	100.0	0.0	0.0	0.0
MarkusKahlsen	0.0	1	100.0	0.0	0.0	0.0
mestrepoke	0.0	1	100.0	0.0	0.0	0.0
Nitrate	0	1	100.0	0.0	0.0	0.0
NotAnL	0.0	2	100.0	0.0	0.0	0.0
Plum	0.0	1	100.0	0.0	0.0	0.0
PMP	0	1	100.0	0.0	0.0	0.0
poofart123	0	1	100.0	0.0	0.0	0.0
qqqq	0.0	1	100.0	0.0	0.0	0.0
quadrocket	0.0	2	100.0	0.0	0.0	0.0
rahsosprout	0	1	100.0	0.0	0.0	0.0
robense	0.0	1	100.0	0.0	0.0	0.0
scarafaggio	0.0	1	100.0	0.0	0.0	0.0
sephiroth	0.0	1	100.0	0.0	0.0	0.0
sp00ky	0	1	100.0	0.0	0.0	0.0
squirrel1988	0.0	1	100.0	0.0	0.0	0.0
StKildaFan	0.0	1	100.0	0.0	0.0	0.0
ukass666	0.0	1	100.0	0.0	0.0	0.0
uSERNAME14	0.0	1	100.0	0.0	0.0	0.0
VerySloppyTwo	0.0	1	100.0	0.0	0.0	0.0
vim666	0.0	2	100.0	0.0	0.0	0.0
voss	0.0	1	100.0	0.0	0.0	0.0
Zahard	0.0	1	100.0	0.0	0.0	0.0
Zamiel	0.0	1	100.0	0.0	0.0	0.0
