Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Asddsa76	100.0	4	75.0	0.0	25.0	0.0
katian	50.0	3	66.67	0.0	33.33	0.0
rahsosprout	50.0	3	66.67	0.0	33.33	0.0
ricardodd	50.0	3	100.0	0.0	0.0	0.0
elskabette	44.44	13	100.0	0.0	0.0	0.0
lailie.ahava	40.0	14	100.0	0.0	0.0	0.0
tolson32	37.5	11	100.0	0.0	0.0	0.0
bjnh	33.33	4	25.0	0.0	75.0	0.0
pianoblook	25.0	5	100.0	0.0	0.0	0.0
Plum	25.0	5	100.0	0.0	0.0	0.0
Kyle	20.0	12	50.0	16.67	33.33	0.0
Onen	20.0	6	33.33	0.0	66.67	0.0
aanar	14.29	8	100.0	0.0	0.0	0.0
TimeHoodie	13.64	25	20.0	4.0	76.0	0.0
dobi	13.04	26	34.62	0.0	65.38	0.0
ChristopheAF	12.5	18	72.22	5.56	22.22	0.0
sephiroth	12.5	18	55.56	0.0	44.44	0.0
kimbifille	10.0	11	100.0	0.0	0.0	0.0
indego	7.32	44	43.18	0.0	56.82	0.0
Lanvin	2.78	37	45.95	13.51	40.54	0.0
4head	0.0	1	100.0	0.0	0.0	0.0
ADrone	0.0	1	100.0	0.0	0.0	0.0
asaelr	0.0	3	0.0	0.0	100.0	0.0
BananaBum	0.0	3	100.0	0.0	0.0	0.0
CaitlinSmith	0.0	1	100.0	0.0	0.0	0.0
colton	0.0	3	33.33	0.0	66.67	0.0
danyalukin	0.0	2	100.0	0.0	0.0	0.0
Daryl	0.0	4	100.0	0.0	0.0	0.0
Denchulitas	0.0	3	100.0	0.0	0.0	0.0
diael	0	1	100.0	0.0	0.0	0.0
doctorabi	0.0	6	0.0	83.33	16.67	0.0
ejwu	0.0	1	100.0	0.0	0.0	0.0
eljavi	0.0	3	33.33	0.0	66.67	0.0
Floriman	0.0	5	100.0	0.0	0.0	0.0
frosty104	0.0	19	47.37	5.26	47.37	0.0
HariKrishnan	0.0	2	100.0	0.0	0.0	0.0
HelanaAshryvr	0.0	4	50.0	0.0	50.0	0.0
IAMJEFF	0.0	6	100.0	0.0	0.0	0.0
indegoo	0.0	2	50.0	0.0	50.0	0.0
jack67889	0.0	7	0.0	100.0	0.0	0.0
jeff10	0.0	7	14.29	14.29	71.43	0.0
JerryYang	0	1	100.0	0.0	0.0	0.0
kevincaseytdk1	0	1	100.0	0.0	0.0	0.0
Lel0uch	0.0	5	0.0	100.0	0.0	0.0
lolthisnotderk	0	1	100.0	0.0	0.0	0.0
MangoPie	0.0	10	100.0	0.0	0.0	0.0
MarkusKahlsen	0.0	5	0.0	0.0	100.0	0.0
melwen	0.0	17	23.53	0.0	76.47	0.0
newduke	0.0	2	100.0	0.0	0.0	0.0
nitawa	0.0	2	0.0	100.0	0.0	0.0
Nitrate2	0.0	4	0.0	0.0	100.0	0.0
nwajfromoz	0	1	100.0	0.0	0.0	0.0
oliana	0	1	100.0	0.0	0.0	0.0
orucsoraihc	0.0	4	0.0	100.0	0.0	0.0
Pablo-	0.0	7	0.0	100.0	0.0	0.0
Pimak	0.0	3	100.0	0.0	0.0	0.0
plus	0.0	6	0.0	100.0	0.0	0.0
poofart123	0	1	100.0	0.0	0.0	0.0
qqqq	0.0	2	100.0	0.0	0.0	0.0
rachyrules	0.0	3	33.33	33.33	33.33	0.0
rz	0.0	2	0.0	100.0	0.0	0.0
scharkbite	0.0	1	100.0	0.0	0.0	0.0
sin_faith	0.0	12	16.67	25.0	58.33	0.0
skyblueexo	0	1	0.0	0.0	100.0	0.0
sophpie	0.0	2	100.0	0.0	0.0	0.0
Spieler42	0.0	1	100.0	0.0	0.0	0.0
squidgetx	0.0	2	100.0	0.0	0.0	0.0
Sucubis	0.0	6	50.0	0.0	50.0	0.0
Valetta6789	0.0	2	100.0	0.0	0.0	0.0
VerySloppyTwo	0.0	3	100.0	0.0	0.0	0.0
voss	0	1	100.0	0.0	0.0	0.0
Wittvector	0.0	5	20.0	0.0	80.0	0.0
Zamiel	0.0	3	100.0	0.0	0.0	0.0
