Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
avanderwalde	100.0	2	50.0	0.0	50.0	0.0
dcu4life	100.0	2	100.0	0.0	0.0	0.0
Denchulitas	100.0	2	100.0	0.0	0.0	0.0
emilyzhao	100.0	2	100.0	0.0	0.0	0.0
FirxFury	100.0	2	100.0	0.0	0.0	0.0
Joan	100.0	2	100.0	0.0	0.0	0.0
Lanvin	100.0	4	75.0	0.0	25.0	0.0
Lel0uch	100.0	4	75.0	0.0	25.0	0.0
Littleinvad	100.0	2	100.0	0.0	0.0	0.0
Metylene	100.0	2	100.0	0.0	0.0	0.0
PasFe01	100.0	2	100.0	0.0	0.0	0.0
rs1	100.0	4	50.0	0.0	50.0	0.0
Spieler42	100.0	2	100.0	0.0	0.0	0.0
squidgetx	100.0	2	100.0	0.0	0.0	0.0
squirtle	100.0	2	50.0	0.0	50.0	0.0
tyrtel	100.0	2	100.0	0.0	0.0	0.0
vanina93	100.0	2	100.0	0.0	0.0	0.0
rachyrules	75.0	7	100.0	0.0	0.0	0.0
DoubleDown11	71.43	12	83.33	0.0	16.67	0.0
Shos	66.67	15	100.0	0.0	0.0	0.0
superbipbip	66.67	5	100.0	0.0	0.0	0.0
DMS	60.0	8	100.0	0.0	0.0	0.0
Feer	60.0	32	78.12	0.0	21.88	0.0
rft50	60.0	8	100.0	0.0	0.0	0.0
alphabeta	50.0	15	60.0	0.0	40.0	0.0
antitelharsic	50.0	3	66.67	0.0	33.33	0.0
cockdestroyer	50.0	9	100.0	0.0	0.0	0.0
CptAggro	50.0	3	100.0	0.0	0.0	0.0
duckless	50.0	3	0.0	0.0	100.0	0.0
eliclax	50.0	3	100.0	0.0	0.0	0.0
frosty104	50.0	6	33.33	0.0	66.67	0.0
ggwpgg	50.0	3	100.0	0.0	0.0	0.0
JDepp	50.0	3	100.0	0.0	0.0	0.0
Micro	50.0	3	100.0	0.0	0.0	0.0
NotRaKXeR	50.0	6	100.0	0.0	0.0	0.0
phtheven	50.0	3	100.0	0.0	0.0	0.0
Sh	50.0	18	100.0	0.0	0.0	0.0
Wittvector	50.0	6	100.0	0.0	0.0	0.0
Darth_Calculus	45.45	32	78.12	0.0	21.88	0.0
MasN	45.45	32	81.25	0.0	18.75	0.0
Asddsa76	39.29	39	84.62	0.0	15.38	0.0
Ahming	37.5	44	70.45	0.0	29.55	0.0
anser	37.5	11	81.82	0.0	18.18	0.0
Fey	37.29	162	82.1	0.0	16.05	1.85
ADrone	35.71	19	63.16	0.0	36.84	0.0
4head	33.33	4	75.0	0.0	25.0	0.0
catula	33.33	12	100.0	0.0	0.0	0.0
Hyakinthus	33.33	20	75.0	0.0	25.0	0.0
jack67889	33.33	8	50.0	0.0	50.0	0.0
Pikachu	33.33	4	75.0	0.0	25.0	0.0
TheWildCard	33.33	8	100.0	0.0	0.0	0.0
wallerun	33.33	4	100.0	0.0	0.0	0.0
YacineH	33.33	4	100.0	0.0	0.0	0.0
Libster	30.0	130	79.23	3.08	17.69	0.0
MarkusKahlsen	30.0	39	64.1	2.56	33.33	0.0
TheDaniMan	29.17	93	52.69	0.0	43.01	4.3
Ape	28.57	9	100.0	0.0	0.0	0.0
magikarp	28.57	18	100.0	0.0	0.0	0.0
qqqq	28.36	86	54.65	8.14	37.21	0.0
Tiramisu1th	28.0	32	90.62	0.0	9.38	0.0
Pablo-	26.53	62	58.06	0.0	41.94	0.0
hanabornoob	26.09	29	93.1	0.0	6.9	0.0
micerang	26.09	720	68.89	1.94	27.78	1.39
asaelr	25.86	735	65.85	3.54	29.25	1.36
Romain672	25.29	109	59.63	11.01	29.36	0.0
Div	25.0	10	80.0	0.0	20.0	0.0
fow	25.0	5	100.0	0.0	0.0	0.0
kondain	25.0	25	100.0	0.0	0.0	0.0
kopen2	25.0	5	100.0	0.0	0.0	0.0
VerySloppyTwo	25.0	5	100.0	0.0	0.0	0.0
bulbasaur	23.81	26	80.77	7.69	11.54	0.0
Lilliana	23.81	26	80.77	0.0	19.23	0.0
swineherd	23.81	26	73.08	7.69	19.23	0.0
wortel	23.76	125	69.6	5.6	24.0	0.8
Zakisan	22.37	93	63.44	3.23	32.26	1.08
kodomazer	22.31	159	86.79	0.0	13.21	0.0
Floriman	22.05	808	58.91	2.23	29.83	9.03
sephiroth	21.5	130	60.77	0.0	39.23	0.0
Maiorskills	21.35	108	70.37	0.93	28.7	0.0
efaust	21.21	40	77.5	0.0	22.5	0.0
NoMercy	21.13	86	75.58	1.16	23.26	0.0
IAMJEFF	20.82	1480	72.03	7.3	13.65	7.03
Hunter	20.73	99	85.86	0.0	14.14	0.0
CalebSmiley	20.0	6	100.0	0.0	0.0	0.0
dobi	20.0	6	16.67	66.67	16.67	0.0
florrat2	20.0	60	66.67	1.67	25.0	6.67
hexwab	20.0	6	100.0	0.0	0.0	0.0
IAMGUESSING	20.0	12	100.0	0.0	0.0	0.0
Ptheven	20.0	84	53.57	10.71	35.71	0.0
tyrcho	20.0	12	100.0	0.0	0.0	0.0
Andrew_UK	19.35	37	94.59	0.0	5.41	0.0
piper	19.32	247	34.82	1.21	57.49	6.48
Wolfiee	19.3	68	98.53	0.0	1.47	0.0
postmans	18.92	44	81.82	0.0	13.64	4.55
darkenblade986	18.87	63	95.24	0.0	4.76	0.0
Sucubis	18.79	196	70.92	1.02	28.06	0.0
sjdrodge	18.64	140	84.29	0.71	15.0	0.0
Livia	18.56	690	62.03	11.16	23.04	3.77
honkbeep	18.18	26	84.62	0.0	15.38	0.0
plus	18.06	85	67.06	0.0	21.18	11.76
Kyle	18.0	767	66.62	5.22	24.51	3.65
scharkbite	17.85	614	51.79	6.84	36.64	4.72
Fireheart	17.6	675	72.59	2.96	21.33	3.11
invarse	17.52	436	55.73	17.43	26.83	0.0
kopen	17.39	297	72.73	6.06	19.87	1.35
Razgovor	17.39	27	88.89	0.0	11.11	0.0
open	17.32	298	72.48	6.04	20.13	1.34
awe	16.95	69	78.26	0.0	21.74	0.0
duckmammal	16.81	139	84.17	5.04	10.79	0.0
frollo9386	16.67	7	71.43	0.0	28.57	0.0
FullPunish	16.67	7	100.0	0.0	0.0	0.0
Mike	16.67	7	85.71	0.0	14.29	0.0
robense	16.67	7	57.14	0.0	42.86	0.0
Turdeous	16.67	7	100.0	0.0	0.0	0.0
Yeesh	16.67	28	57.14	39.29	3.57	0.0
TimeHoodie	16.52	268	47.76	7.09	36.19	8.96
Valetta6789	16.48	636	71.86	1.73	21.7	4.72
Nitrate	16.18	79	60.76	0.0	39.24	0.0
sin_faith	15.74	375	66.4	14.93	14.4	4.27
Animex52	15.69	59	84.75	0.0	15.25	0.0
kooolant	15.13	137	59.12	4.38	25.55	10.95
Jake_Stiles	15.08	145	60.69	7.59	31.03	0.69
jeep	14.29	16	100.0	0.0	0.0	0.0
kalisa	14.29	8	100.0	0.0	0.0	0.0
pianoblook	13.48	261	30.65	0.0	54.79	14.56
DMoney	13.45	447	43.85	1.79	44.3	10.07
honzas	13.33	51	86.27	0.0	13.73	0.0
wjomlex	13.33	34	91.18	0.0	8.82	0.0
Razvogor	13.16	43	81.4	0.0	18.6	0.0
Will	13.16	43	46.51	0.0	53.49	0.0
aladdin3	12.5	9	44.44	0.0	55.56	0.0
hakha3	12.5	9	22.22	0.0	77.78	0.0
timotree	12.5	27	48.15	0.0	29.63	22.22
Nitrate2	12.31	73	58.9	0.0	41.1	0.0
lotem	11.67	67	91.04	0.0	5.97	2.99
padi	11.43	195	75.38	6.67	11.79	6.15
melwen	11.39	88	69.32	2.27	26.14	2.27
crossproduct	11.11	10	30.0	0.0	70.0	0.0
newduke	11.11	10	50.0	30.0	20.0	0.0
RaKXeR	10.96	658	88.75	0.46	8.51	2.28
joelwool	10.94	71	43.66	0.0	56.34	0.0
charmander	10.87	51	52.94	0.0	47.06	0.0
derekcheah	10.71	31	90.32	0.0	9.68	0.0
letical	10.61	73	93.15	0.0	6.85	0.0
qbphoenix	10.53	21	28.57	0.0	71.43	0.0
Yuga Suggah	10.0	55	90.91	0.0	9.09	0.0
royaltyphoenix	9.52	23	100.0	0.0	0.0	0.0
Bonja97	9.43	58	27.59	0.0	72.41	0.0
XMIL	9.09	24	62.5	0.0	25.0	12.5
kimbifille	9.08	3317	29.3	2.83	23.3	44.56
sankala fan	8.89	49	93.88	0.0	6.12	0.0
Zamiel	8.85	455	61.54	2.2	31.87	4.4
Pimak	8.33	26	92.31	7.69	0.0	0.0
The Kaito Kid	8.33	13	100.0	0.0	0.0	0.0
eevee	8.25	105	91.43	4.76	3.81	0.0
LaFayetteX	8.0	27	66.67	7.41	25.93	0.0
will.i.am	8.0	81	35.8	0.0	61.73	2.47
snkylittleazn	7.69	14	100.0	0.0	0.0	0.0
indego	6.36	117	63.25	7.69	29.06	0.0
Doge	6.25	34	76.47	0.0	11.76	11.76
Cory	6.06	35	51.43	0.0	48.57	0.0
Alpha	0.0	1	100.0	0.0	0.0	0.0
alv1nn	0.0	1	100.0	0.0	0.0	0.0
Animex22	0.0	1	100.0	0.0	0.0	0.0
anthzz	0.0	1	100.0	0.0	0.0	0.0
argento	0.0	1	100.0	0.0	0.0	0.0
arnino	0.0	12	83.33	16.67	0.0	0.0
b3n	0.0	1	100.0	0.0	0.0	0.0
basj	0.0	1	100.0	0.0	0.0	0.0
bjnh	0.0	1	100.0	0.0	0.0	0.0
BlackFives	0	1	100.0	0.0	0.0	0.0
BlameItOnRaz	0.0	1	0.0	0.0	100.0	0.0
Bob Dole	0.0	7	100.0	0.0	0.0	0.0
Bubble	0.0	1	100.0	0.0	0.0	0.0
Buds	0	1	100.0	0.0	0.0	0.0
Caster	0.0	4	100.0	0.0	0.0	0.0
CastlesInTheAir	0.0	6	0.0	0.0	100.0	0.0
cequoy	0.0	1	100.0	0.0	0.0	0.0
charizard832	0.0	2	100.0	0.0	0.0	0.0
ChristopheAF	0.0	4	100.0	0.0	0.0	0.0
chunksoul	0.0	1	100.0	0.0	0.0	0.0
claudiob	0.0	5	100.0	0.0	0.0	0.0
colton	0	1	100.0	0.0	0.0	0.0
CompleteTrust	0.0	1	100.0	0.0	0.0	0.0
CoxZucker	0.0	1	100.0	0.0	0.0	0.0
CoxZuckrMachine	0.0	2	100.0	0.0	0.0	0.0
Cynas	0.0	2	50.0	0.0	50.0	0.0
DarthVoider	0.0	2	100.0	0.0	0.0	0.0
Daryl	0.0	1	100.0	0.0	0.0	0.0
DrJones	0.0	5	80.0	0.0	20.0	0.0
ejwu	0.0	2	100.0	0.0	0.0	0.0
Forte	0.0	1	100.0	0.0	0.0	0.0
griff77	0.0	1	100.0	0.0	0.0	0.0
hailey	0	1	100.0	0.0	0.0	0.0
HelanaAshryvr	0.0	4	100.0	0.0	0.0	0.0
honeybubbles	0.0	1	100.0	0.0	0.0	0.0
honeydew	0	1	100.0	0.0	0.0	0.0
Hyphen-ated	0.0	5	100.0	0.0	0.0	0.0
infinity00	0.0	3	100.0	0.0	0.0	0.0
Instantiation	0.0	6	83.33	0.0	16.67	0.0
jeff10	0.0	11	54.55	0.0	45.45	0.0
JeffD	0.0	3	100.0	0.0	0.0	0.0
jh	0.0	1	100.0	0.0	0.0	0.0
joaep2	0.0	2	50.0	0.0	50.0	0.0
katian	0.0	6	0.0	0.0	100.0	0.0
KawaiiHamako	0.0	3	100.0	0.0	0.0	0.0
kealariser	0.0	1	100.0	0.0	0.0	0.0
Kerchu	0.0	2	100.0	0.0	0.0	0.0
knaphill	0.0	1	100.0	0.0	0.0	0.0
lolthisnotderk	0.0	1	100.0	0.0	0.0	0.0
MangoPie	0.0	5	80.0	0.0	20.0	0.0
MapleMcCraw	0.0	2	100.0	0.0	0.0	0.0
MasterP	0.0	1	100.0	0.0	0.0	0.0
maxnorris13	0.0	1	100.0	0.0	0.0	0.0
MickMasta	0.0	1	100.0	0.0	0.0	0.0
